Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,676430,335618,84,10,24,118,100
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,139675,65860,91,12,23,126,110
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,All Category,15724,0,0,0,0,0,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,200,62,94,21,4,119,124
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,6154,2050,102,10,3,115,120
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,10071,2739,107,11,4,122,125
India,West Bengal,"Financial Year (Apr - Mar), 2022",11-Mar-2026,All Category,1079045,0,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,122777,0,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,312667,0,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,514879,0,0,0,0,0,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,3221,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,53993,0,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,52420,0,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,487561,83345,76,10,19,105,103
India,Gujarat,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,21681,1853,66,22,4,92,98
