Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,828,0,1,0,0,828
India,Telangana,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,0.41384904752057314394,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.41384904752057314394
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,6.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,1484,0,196,0,16,1484
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,840742,732278,28,16,0,840742
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,53451,13156,0,0,0,53451
India,West Bengal,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,809125,890355,792259,0,881,808916
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,0,234,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,5969,7360,5967,0,46,5968
India,Assam,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,233466,228014,226127,1,508,233361
India,Bihar,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,1285512,1288833,1274290,0,384,1285193
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,152059,151098,142834,1,1520,151970
India,Goa,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,88278,105458,85608,0,517,88266
India,Haryana,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,0,0,0,0,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",03-Dec-2025,All Category,800,869,800,0,6,800
